SiteCode,Site.Name,Site.Latitude,Site.Longitude,Country,surveys,Start,Latest,Times,X10,Latitude,Longitude
ACEH1,Rubiah Jetty Nth,5.88147,95.25631,Indonesia,2,2009,2009,1,NA,5.88,95.26
ACEH10,Ujung Kareung,5.87792,95.35384,Indonesia,1,2009,2009,1,NA,5.88,95.35
ACEH11,Bate Bukulah,5.86718,95.2696,Indonesia,2,2009,2009,1,NA,5.87,95.27
ACEH12,Tokong,5.89787,95.25255,Indonesia,2,2009,2009,1,NA,5.9,95.25
ACEH13,Paloh,5.6639,95.09202,Indonesia,1,2009,2009,1,NA,5.66,95.09
ACEH14,Lamteng,5.64638,95.16272,Indonesia,1,2009,2009,1,NA,5.65,95.16
ACEH15,Ujung Murung,5.84835,95.28406,Indonesia,2,2009,2009,1,NA,5.85,95.28
ACEH16,Rubiah Channel Nth,5.88585,95.25413,Indonesia,3,2009,2009,1,NA,5.89,95.25
ACEH17,Ujung Lumbeh,5.87248,95.26192,Indonesia,3,2009,2009,1,NA,5.87,95.26
ACEH18,Beurawang,5.77726,95.33671,Indonesia,3,2009,2009,1,NA,5.78,95.34
ACEH19,Jaboi,5.80058,95.34664,Indonesia,3,2009,2009,1,NA,5.8,95.35
ACEH20,Ujung Rubiah,5.88679,95.25651,Indonesia,4,2009,2009,1,NA,5.89,95.26
ACEH21,Ujung Tunku,5.88277,95.24911,Indonesia,2,2009,2009,1,NA,5.88,95.25
ACEH23,Rhenteuk,5.85724,95.361378,Indonesia,1,2009,2009,1,NA,5.86,95.36
ACEH24,Sumur Tiga,5.89158,95.34356,Indonesia,1,2009,2009,1,NA,5.89,95.34
ACEH25,Pulau Klah,5.87715,95.31384,Indonesia,1,2009,2009,1,NA,5.88,95.31
ACEH26,Lhok Weng,5.86461,95.26884,Indonesia,1,2009,2009,1,NA,5.86,95.27
ACEH27,Gapang,5.8543,95.27358,Indonesia,1,2009,2009,1,NA,5.85,95.27
ACEH29,Deudap,5.60681,95.19375,Indonesia,1,2009,2009,1,NA,5.61,95.19
ACEH30,Pasi Janeng 1,5.6291,95.13154,Indonesia,1,2009,2009,1,NA,5.63,95.13
ACEH5,Pasi Janeng 2,5.63217,95.13788,Indonesia,1,2009,2009,1,NA,5.63,95.14
ACEH6,Lhoh,5.66782,95.12632,Indonesia,1,2009,2009,1,NA,5.67,95.13
ACEH9,Anoi Hitam,5.82587,95.37793,Indonesia,1,2009,2009,1,NA,5.83,95.38
AH1,Amahusu Point,-3.73226,128.13721,Indonesia,2,2015,2015,1,NA,-3.73,128.14
AH2,Amahusu,-3.73631,128.1349,Indonesia,2,2015,2015,1,NA,-3.74,128.13
AH3,Laha Muck,-3.71001,128.10204,Indonesia,2,2015,2015,1,NA,-3.71,128.1
AH4,Laha Airport,-3.71814,128.09338,Indonesia,2,2015,2015,1,NA,-3.72,128.09
AH5,Ambon South Coast,-3.7677,128.1541,Indonesia,2,2015,2015,1,NA,-3.77,128.15
AIMS1,Masthead Site 3,-23.53652,151.75731,Australia,4,2015,2017,2,NA,-23.54,151.76
AIMS10,North Island Site 1,-23.175483,151.908633,Australia,4,2015,2017,2,NA,-23.18,151.91
AIMS12,North Island Site 3,-23.1778,151.915433,Australia,4,2015,2017,2,NA,-23.18,151.92
AIMS2,Masthead Site 1,-23.5341,151.74968,Australia,4,2015,2017,2,NA,-23.53,151.75
AIMS4,Erskyne Island Site 1,-23.49835,151.7747,Australia,4,2015,2017,2,NA,-23.5,151.77
AIMS5,Erskyne Island Site 2,-23.49845,151.7789,Australia,4,2015,2017,2,NA,-23.5,151.78
AIMS7,Broomfield Reef Site 2,-23.25245,151.94545,Australia,4,2015,2017,2,NA,-23.25,151.95
AIMS8,Broomfield Reef Site 1,-23.249566,151.94255,Australia,4,2015,2017,2,NA,-23.25,151.94
AIMS9,Broomfield Reef Site 3,-23.257383,151.947133,Australia,2,2015,2015,1,NA,-23.26,151.95
AL1,Ailuk Inside SE,10.25911,169.98007,Republic of the Marshall Islands,1,2014,2014,1,NA,10.26,169.98
AL10,Ailuk House Reef,10.22592,169.92878,Republic of the Marshall Islands,2,2014,2014,1,NA,10.23,169.93
AL2,Ailuk Inside E,10.2822,169.97562,Republic of the Marshall Islands,1,2014,2014,1,NA,10.28,169.98
