Name,Latitude,Longitude,EOVs,sampled,sampled_1,X7
MarClim,50.31,-4.08,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Wembury Church Reef
MarClim,50.32,-4.13,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Renney Rocks
MarClim,50.4,-3.5,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Brixham Shoalstone
MarClim,50.51,-2.46,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Portland (Pulpit Rock)
MarClim,50.54,-2.45,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Portland (RJH)
MarClim,50.34,-4.46,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Looe SJH site
MarClim,50.35,-4.45,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Looe Hannafore Pt (AJS)
MarClim,50.2,-3.72,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Prawle Point
MarClim,50.55,-4.99,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Trevone
MarClim,50.84,-4.56,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Bude
MarClim,51.18,-4.22,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Woolacombe
MarClim,50.99,-4.54,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Hartland Quay
MarClim,50.71,-2.95,"macroalgal & invertebrate categorical abundance, abundance & size of trochids, abundance & lifestage of barnacles, abundance of limpets",2002,active,Lyme Regis MAK
